
SetupTitle, 2502-IdVgg-Vg
PrimitiveTest, I/V Sweep
DataValue, 2, -1.6, -0.05, -3.24712E-08, 0, 3.2495E-08, 5E-13, -6.0600000000001218E-11
DataValue, 1.98, -1.6, -0.05, -3.2610799999999996E-08, 0, 3.2615E-08, 0, -1.3959999999999815E-10
DataValue, 1.96, -1.6, -0.05, -3.2685E-08, 0, 3.2675E-08, 0, -7.4200000000002081E-11
DataValue, 1.94, -1.6, -0.05, -3.2837799999999995E-08, 0, 3.283E-08, 0, -1.5279999999999724E-10
DataValue, 1.92, -1.6, -0.05, -3.28626E-08, 0, 3.2904999999999996E-08, 0, -2.48000000000043E-11
DataValue, 1.9000000000000001, -1.6, -0.05, -3.30514E-08, 0, 3.303E-08, 0, -1.8879999999999836E-10
DataValue, 1.8800000000000001, -1.6, -0.05, -3.3100399999999994E-08, 0, 3.313E-08, 0, -4.8999999999996005E-11
DataValue, 1.86, -1.6, -0.05, -3.3195399999999996E-08, 0, 3.3235E-08, 0, -9.5000000000001843E-11
DataValue, 1.84, -1.6, -0.05, -3.33006E-08, 0, 3.3319999999999997E-08, 0, -1.0520000000000415E-10
DataValue, 1.82, -1.6, -0.05, -3.3422E-08, 0, 3.3364999999999995E-08, 0, -1.2140000000000002E-10
DataValue, 1.8, -1.6, -0.05, -3.3532799999999996E-08, -5E-13, 3.351E-08, 0, -1.1079999999999594E-10
DataValue, 1.78, -1.6, -0.05, -3.362E-08, 0, 3.3665E-08, 0, -8.7200000000003587E-11
DataValue, 1.76, -1.6, -0.05, -3.3752599999999996E-08, 0, 3.3715E-08, 0, -1.3259999999999683E-10
DataValue, 1.74, -1.6, -0.05, -3.38E-08, 0, 3.3844999999999996E-08, 0, -4.7400000000002132E-11
DataValue, 1.72, -1.6, -0.05, -3.3945E-08, -5E-13, 3.3984999999999996E-08, 0, -1.4499999999999898E-10
DataValue, 1.7, -1.6, -0.05, -3.40292E-08, 0, 3.4015E-08, 0, -8.4200000000000185E-11
DataValue, 1.68, -1.6, -0.05, -3.43086E-08, 0, 3.4175E-08, 0, -2.794000000000005E-10
DataValue, 1.6600000000000001, -1.6, -0.05, -3.43638E-08, 0, 3.431E-08, 0, -5.5200000000000388E-11
DataValue, 1.6400000000000001, -1.6, -0.05, -3.4460199999999996E-08, 0, 3.449E-08, 0, -9.6399999999998137E-11
DataValue, 1.62, -1.6, -0.05, -3.44796E-08, -5E-13, 3.447E-08, 0, -1.9400000000003469E-11
DataValue, 1.6, -1.6, -0.05, -3.4552199999999995E-08, 0, 3.463E-08, 0, -7.2599999999994972E-11
DataValue, 1.58, -1.6, -0.05, -3.4689399999999996E-08, 0, 3.4715E-08, 0, -1.3720000000000073E-10
DataValue, 1.56, -1.6, -0.05, -3.4828799999999996E-08, 0, 3.4824999999999996E-08, 0, -1.3940000000000057E-10
DataValue, 1.54, -1.6, -0.05, -3.4903199999999996E-08, 0, 3.492E-08, 5E-13, -7.439999999999966E-11
DataValue, 1.52, -1.6, -0.05, -3.4986E-08, 0, 3.506E-08, 5E-13, -8.2800000000003891E-11
DataValue, 1.5, -1.6, -0.05, -3.51496E-08, -5E-13, 3.5165E-08, 0, -1.635999999999989E-10
DataValue, 1.48, -1.6, -0.05, -3.5263599999999996E-08, 0, 3.5279999999999996E-08, 0, -1.1399999999999692E-10
DataValue, 1.46, -1.6, -0.05, -3.5408599999999995E-08, 0, 3.54E-08, 0, -1.4499999999999898E-10
DataValue, 1.44, -1.6, -0.05, -3.54586E-08, 0, 3.551E-08, 0, -5.0000000000003756E-11
DataValue, 1.42, -1.6, -0.05, -3.55652E-08, 0, 3.5589999999999996E-08, 0, -1.0660000000000044E-10
DataValue, 1.4000000000000001, -1.6, -0.05, -3.5674199999999997E-08, -5E-13, 3.5699999999999995E-08, 5E-13, -1.0899999999999787E-10
DataValue, 1.3800000000000001, -1.6, -0.05, -3.5822399999999997E-08, 0, 3.5845E-08, 5E-13, -1.4819999999999996E-10
DataValue, 1.36, -1.6, -0.05, -3.59294E-08, 0, 3.5944999999999995E-08, 0, -1.0700000000000222E-10
DataValue, 1.34, -1.6, -0.05, -3.60962E-08, 0, 3.6084999999999995E-08, 0, -1.6679999999999988E-10
DataValue, 1.32, -1.6, -0.05, -3.61876E-08, -5E-13, 3.618E-08, 0, -9.1399999999999085E-11
DataValue, 1.3, -1.6, -0.05, -3.6293E-08, 0, 3.6345E-08, 0, -1.0540000000000173E-10
DataValue, 1.28, -1.6, -0.05, -3.6414199999999995E-08, 0, 3.6405E-08, 0, -1.2119999999999582E-10
DataValue, 1.26, -1.6, -0.05, -3.6518799999999993E-08, 0, 3.6545E-08, 0, -1.0459999999999817E-10
DataValue, 1.24, -1.6, -0.05, -3.6643999999999994E-08, 0, 3.6695E-08, 0, -1.2520000000000035E-10
DataValue, 1.22, -1.6, -0.05, -3.68208E-08, 0, 3.6795E-08, 0, -1.768000000000046E-10
DataValue, 1.2, -1.6, -0.05, -3.68546E-08, 0, 3.69E-08, 0, -3.3800000000001269E-11
DataValue, 1.18, -1.6, -0.05, -3.69948E-08, 0, 3.701E-08, 0, -1.4019999999999751E-10
DataValue, 1.16, -1.6, -0.05, -3.71396E-08, 0, 3.7155E-08, 0, -1.448000000000014E-10
DataValue, 1.1400000000000001, -1.6, -0.05, -3.72326E-08, 0, 3.7274999999999995E-08, 0, -9.2999999999999575E-11
DataValue, 1.12, -1.6, -0.05, -3.73398E-08, 0, 3.736E-08, 0, -1.071999999999998E-10
DataValue, 1.1, -1.6, -0.05, -3.7479999999999995E-08, 0, 3.7505E-08, 0, -1.4019999999999751E-10
DataValue, 1.08, -1.6, -0.05, -3.7722799999999996E-08, 0, 3.764E-08, 0, -2.4280000000000003E-10
DataValue, 1.06, -1.6, -0.05, -3.77112E-08, 0, 3.771E-08, 0, 1.1599999999998595E-11
DataValue, 1.04, -1.6, -0.05, -3.7946399999999996E-08, 0, 3.788E-08, 0, -2.3519999999999935E-10
DataValue, 1.02, -1.6, -0.05, -3.7973E-08, 0, 3.7985E-08, 0, -2.6600000000002369E-11
DataValue, 1, -1.6, -0.05, -3.81168E-08, 0, 3.8139999999999996E-08, 0, -1.4380000000000027E-10
DataValue, 0.98, -1.6, -0.05, -3.8233599999999995E-08, 0, 3.824E-08, 0, -1.1679999999999612E-10
DataValue, 0.96, -1.6, -0.05, -3.8359399999999995E-08, 0, 3.8419999999999996E-08, 0, -1.2579999999999971E-10
DataValue, 0.94000000000000006, -1.6, -0.05, -3.84888E-08, 0, 3.8505E-08, 0, -1.2940000000000247E-10
DataValue, 0.92, -1.6, -0.05, -3.8598999999999994E-08, 0, 3.8675E-08, 0, -1.1019999999999658E-10
DataValue, 0.9, -1.6, -0.05, -3.8753199999999994E-08, 0, 3.879E-08, 0, -1.5420000000000015E-10
DataValue, 0.88, -1.6, -0.05, -3.88802E-08, 0, 3.886E-08, 0, -1.2700000000000504E-10
DataValue, 0.86, -1.6, -0.05, -3.903E-08, 0, 3.904E-08, 0, -1.4980000000000046E-10
DataValue, 0.84, -1.6, -0.05, -3.9128E-08, 0, 3.9149999999999997E-08, 0, -9.7999999999998628E-11
DataValue, 0.82000000000000006, -1.6, -0.05, -3.93096E-08, 0, 3.934E-08, 0, -1.8159999999999946E-10
DataValue, 0.8, -1.6, -0.05, -3.9405599999999994E-08, 0, 3.946E-08, 0, -9.599999999999636E-11
DataValue, 0.78, -1.6, -0.05, -3.9594799999999994E-08, 0, 3.9574999999999995E-08, 0, -1.8920000000000013E-10
DataValue, 0.76, -1.6, -0.05, -3.97032E-08, 0, 3.9725E-08, 0, -1.0840000000000513E-10
DataValue, 0.74, -1.6, -0.05, -3.98832E-08, 0, 3.9875E-08, 0, -1.7999999999999897E-10
DataValue, 0.72, -1.6, -0.05, -3.99876E-08, 0, 3.9989999999999996E-08, 0, -1.0440000000000059E-10
DataValue, 0.70000000000000007, -1.6, -0.05, -4.01654E-08, 0, 4.0175E-08, 0, -1.7779999999999912E-10
DataValue, 0.68, -1.6, -0.05, -4.0267999999999994E-08, 0, 4.0274999999999995E-08, 0, -1.025999999999959E-10
DataValue, 0.66, -1.6, -0.05, -4.0438599999999994E-08, 0, 4.0455E-08, 0, -1.7060000000000022E-10
DataValue, 0.64, -1.6, -0.05, -4.05138E-08, 0, 4.054E-08, 0, -7.5200000000003214E-11
DataValue, 0.62, -1.6, -0.05, -4.06772E-08, 0, 4.07E-08, 0, -1.6340000000000132E-10
DataValue, 0.6, -1.6, -0.05, -4.0881599999999993E-08, 0, 4.0875E-08, 0, -2.0439999999999487E-10
DataValue, 0.58, -1.6, -0.05, -4.1082E-08, 0, 4.105E-08, 0, -2.0040000000000357E-10
DataValue, 0.56, -1.6, -0.05, -4.1250999999999997E-08, -5E-13, 4.1165E-08, 0, -1.6899999999999973E-10
DataValue, 0.54, -1.6, -0.05, -4.1352799999999996E-08, 0, 4.14E-08, 0, -1.0179999999999897E-10
DataValue, 0.52, -1.6, -0.05, -4.1522399999999995E-08, 0, 4.1529999999999995E-08, 0, -1.6959999999999908E-10
DataValue, 0.5, -1.6, -0.05, -4.16708E-08, 0, 4.1704999999999995E-08, 5E-13, -1.4840000000000416E-10
DataValue, 0.48, -1.6, -0.05, -4.18448E-08, 0, 4.189E-08, 0, -1.7399999999999878E-10
DataValue, 0.46, -1.6, -0.05, -4.2013399999999996E-08, 0, 4.2035E-08, 0, -1.6859999999999795E-10
DataValue, 0.44, -1.6, -0.05, -4.2224999999999996E-08, 0, 4.2275E-08, 0, -2.1160000000000039E-10
DataValue, 0.42, -1.6, -0.05, -4.23774E-08, 0, 4.238E-08, 0, -1.5240000000000208E-10
DataValue, 0.4, -1.6, -0.05, -4.2545399999999997E-08, 0, 4.2609999999999996E-08, 0, -1.6799999999999859E-10
DataValue, 0.38, -1.6, -0.05, -4.27318E-08, 0, 4.2754999999999995E-08, 0, -1.8640000000000093E-10
DataValue, 0.36, -1.6, -0.05, -4.2939199999999996E-08, 0, 4.297E-08, 0, -2.0739999999999827E-10
DataValue, 0.34, -1.6, -0.05, -4.31074E-08, 0, 4.3164999999999996E-08, 0, -1.6820000000000279E-10
DataValue, 0.32, -1.6, -0.05, -4.3307E-08, 0, 4.3285E-08, 0, -1.9960000000000001E-10
DataValue, 0.3, -1.6, -0.05, -4.3434199999999995E-08, 0, 4.357E-08, 0, -1.27199999999996E-10
DataValue, 0.28, -1.6, -0.05, -4.37708E-08, 0, 4.378E-08, 0, -3.3660000000000316E-10
DataValue, 0.26, -1.6, -0.05, -4.3980999999999995E-08, 0, 4.3939999999999995E-08, 0, -2.1019999999999748E-10
DataValue, 0.24, -1.6, -0.05, -4.4160799999999997E-08, 0, 4.4219999999999995E-08, 0, -1.7980000000000139E-10
DataValue, 0.22, -1.6, -0.05, -4.4395599999999994E-08, 0, 4.44E-08, 0, -2.3479999999999758E-10
DataValue, 0.2, -1.6, -0.05, -4.4599399999999996E-08, 0, 4.4615E-08, 0, -2.0380000000000213E-10
DataValue, 0.18, -1.6, -0.05, -4.4895399999999994E-08, 0, 4.4849999999999995E-08, 0, -2.9599999999999815E-10
DataValue, 0.16, -1.6, -0.05, -4.51012E-08, 0, 4.5135E-08, 5E-13, -2.058000000000044E-10
DataValue, 0.14, -1.6, -0.05, -4.5373E-08, 0, 4.5369999999999995E-08, 0, -2.7179999999999983E-10
DataValue, 0.12, -1.6, -0.05, -4.5559999999999992E-08, 0, 4.5584999999999994E-08, 0, -1.8699999999999367E-10
DataValue, 0.1, -1.6, -0.05, -4.5857E-08, 0, 4.5889999999999996E-08, 0, -2.970000000000059E-10
DataValue, 0.08, -1.6, -0.05, -4.6123799999999992E-08, 0, 4.615E-08, -5E-13, -2.6679999999999416E-10
DataValue, 0.06, -1.6, -0.05, -4.6439599999999996E-08, 0, 4.6449999999999996E-08, 0, -3.158000000000034E-10
DataValue, 0.04, -1.6, -0.05, -4.66954E-08, 0, 4.6694999999999996E-08, 0, -2.5580000000000154E-10
DataValue, 0.02, -1.6, -0.05, -4.69764E-08, 0, 4.7009999999999995E-08, 0, -2.81000000000001E-10
DataValue, 0, -1.6, -0.05, -4.7318999999999995E-08, 0, 4.73E-08, 0, -3.4259999999999673E-10
DataValue, -0.02, -1.6, -0.05, -4.76704E-08, 0, 4.7644999999999994E-08, 5E-13, -3.5140000000000274E-10
DataValue, -0.04, -1.6, -0.05, -4.7964399999999994E-08, 0, 4.7965E-08, 0, -2.9399999999999588E-10
DataValue, -0.06, -1.6, -0.05, -4.8274599999999992E-08, 0, 4.8329999999999997E-08, 0, -3.1019999999999837E-10
DataValue, -0.08, -1.6, -0.05, -4.8671799999999996E-08, 0, 4.8679999999999997E-08, 5E-13, -3.9720000000000438E-10
DataValue, -0.1, -1.6, -0.05, -4.9004999999999994E-08, 0, 4.9015E-08, 0, -3.33199999999998E-10
DataValue, -0.12, -1.6, -0.05, -4.95034E-08, 0, 4.943E-08, 0, -4.98400000000004E-10
DataValue, -0.14, -1.6, -0.05, -4.98102E-08, 0, 4.9815E-08, 0, -3.0679999999999981E-10
DataValue, -0.16, -1.6, -0.05, -5.0197199999999994E-08, 0, 5.0294999999999995E-08, 0, -3.8699999999999546E-10
DataValue, -0.18, -1.6, -0.05, -5.06634E-08, 0, 5.0704999999999996E-08, 0, -4.6620000000000321E-10
DataValue, -0.2, -1.6, -0.05, -5.1048999999999996E-08, 0, 5.1169999999999994E-08, 0, -3.8559999999999916E-10
DataValue, -0.22, -1.6, -0.05, -5.16094E-08, 0, 5.1645E-08, 0, -5.604000000000015E-10
DataValue, -0.24, -1.6, -0.05, -5.21026E-08, 0, 5.2144999999999995E-08, 0, -4.9320000000000074E-10
DataValue, -0.26, -1.6, -0.05, -5.2700999999999997E-08, 0, 5.2674999999999994E-08, 0, -5.9839999999999826E-10
DataValue, -0.28, -1.6, -0.05, -5.3275599999999992E-08, 0, 5.331E-08, 0, -5.745999999999951E-10
DataValue, -0.3, -1.6, -0.05, -5.39128E-08, 0, 5.3889999999999995E-08, 0, -6.372000000000052E-10
DataValue, -0.32, -1.6, -0.05, -5.4545599999999996E-08, 0, 5.4554999999999995E-08, 0, -6.3279999999999889E-10
DataValue, -0.34, -1.6, -0.05, -5.5302999999999996E-08, 0, 5.5265E-08, 0, -7.5739999999999989E-10
DataValue, -0.36, -1.6, -0.05, -5.59378E-08, 0, 5.597E-08, 0, -6.3480000000000116E-10
DataValue, -0.38, -1.6, -0.05, -5.6749599999999994E-08, 0, 5.6759999999999993E-08, -5E-13, -8.1179999999999672E-10
DataValue, -0.4, -1.6, -0.05, -5.7543599999999994E-08, 0, 5.7575E-08, 0, -7.9400000000000036E-10
DataValue, -0.42, -1.6, -0.05, -5.8429599999999993E-08, 0, 5.8504999999999993E-08, 5E-13, -8.859999999999988E-10
DataValue, -0.44, -1.6, -0.05, -5.9304799999999996E-08, 0, 5.9369999999999995E-08, 0, -8.7520000000000376E-10
DataValue, -0.46, -1.6, -0.05, -6.0352599999999989E-08, 0, 6.0415E-08, -5E-13, -1.047799999999993E-09
DataValue, -0.48, -1.6, -0.05, -6.13538E-08, 0, 6.139E-08, 0, -1.0012000000000077E-09
DataValue, -0.5, -1.6, -0.05, -6.24432E-08, 0, 6.248E-08, 0, -1.0893999999999992E-09
DataValue, -0.52, -1.6, -0.05, -6.36322E-08, 0, 6.3635E-08, 0, -1.1889999999999983E-09
DataValue, -0.54, -1.6, -0.05, -6.4871799999999989E-08, 0, 6.487E-08, 0, -1.2395999999999948E-09
DataValue, -0.56, -1.6, -0.05, -6.6106599999999989E-08, 0, 6.620499999999999E-08, -5E-13, -1.2348E-09
DataValue, -0.58, -1.6, -0.05, -6.75816E-08, 0, 6.75E-08, 0, -1.4750000000000049E-09
DataValue, -0.6, -1.6, -0.05, -6.90002E-08, 0, 6.8984999999999992E-08, 0, -1.4185999999999992E-09
DataValue, -0.62, -1.6, -0.05, -7.05422E-08, 0, 7.0489999999999991E-08, 5E-13, -1.5420000000000015E-09
DataValue, -0.64, -1.6, -0.05, -7.2192799999999992E-08, 0, 7.2124999999999992E-08, 5E-13, -1.6505999999999976E-09
DataValue, -0.66, -1.6, -0.05, -7.37818E-08, 0, 7.379E-08, 0, -1.5890000000000019E-09
DataValue, -0.68, -1.6, -0.05, -7.5558399999999989E-08, 0, 7.5614999999999993E-08, 0, -1.7765999999999949E-09
DataValue, -0.70000000000000007, -1.6, -0.05, -7.73342E-08, 0, 7.737499999999999E-08, 0, -1.7758000000000046E-09
DataValue, -0.72, -1.6, -0.05, -7.9271199999999993E-08, 0, 7.9305E-08, 0, -1.9369999999999994E-09
DataValue, -0.74, -1.6, -0.05, -8.1184399999999989E-08, 5E-13, 8.122E-08, 0, -1.9131999999999962E-09
DataValue, -0.76, -1.6, -0.05, -8.3195399999999993E-08, 0, 8.318E-08, 0, -2.0110000000000039E-09
DataValue, -0.78, -1.6, -0.05, -8.5087599999999992E-08, 0, 8.5079999999999992E-08, 0, -1.8921999999999989E-09
DataValue, -0.8, -1.6, -0.05, -8.7166999999999989E-08, 0, 8.7165E-08, 0, -2.0793999999999968E-09
DataValue, -0.82000000000000006, -1.6, -0.05, -8.91656E-08, 0, 8.9129999999999991E-08, 0, -1.9986000000000084E-09
DataValue, -0.84, -1.6, -0.05, -9.1142599999999989E-08, 0, 9.1225E-08, 0, -1.9769999999999918E-09
DataValue, -0.86, -1.6, -0.05, -9.3260399999999985E-08, 0, 9.328E-08, 0, -2.1177999999999953E-09
DataValue, -0.88, -1.6, -0.05, -9.5312599999999993E-08, 0, 9.5415E-08, 0, -2.0522000000000083E-09
DataValue, -0.9, -1.6, -0.05, -9.7479599999999988E-08, 0, 9.749E-08, 0, -2.1669999999999955E-09
DataValue, -0.92, -1.6, -0.05, -9.960999999999999E-08, 0, 9.966E-08, 0, -2.1304000000000017E-09
DataValue, -0.94000000000000006, -1.6, -0.05, -1.0175279999999999E-07, 0, 1.01715E-07, 0, -2.1427999999999972E-09
DataValue, -0.96, -1.6, -0.05, -1.0379699999999999E-07, 0, 1.0385999999999999E-07, 0, -2.0441999999999992E-09
DataValue, -0.98, -1.6, -0.05, -1.0600899999999999E-07, 0, 1.0593E-07, 0, -2.2120000000000068E-09
DataValue, -1, -1.6, -0.05, -1.0800639999999999E-07, 0, 1.0803E-07, 0, -1.9973999999999964E-09
DataValue, -1.02, -1.6, -0.05, -1.1014179999999998E-07, 0, 1.1019E-07, 0, -2.1353999999999941E-09
DataValue, -1.04, -1.6, -0.05, -1.1214399999999999E-07, 0, 1.122E-07, 0, -2.0022000000000045E-09
DataValue, -1.06, -1.6, -0.05, -1.143266E-07, -5E-13, 1.1443E-07, 0, -2.1826000000000053E-09
DataValue, -1.08, -1.6, -0.05, -1.1641999999999999E-07, 0, 1.1649999999999999E-07, 0, -2.0933999999999994E-09
DataValue, -1.1, -1.6, -0.05, -1.1844E-07, -5E-13, 1.1865E-07, 0, -2.0200000000000009E-09
DataValue, -1.12, -1.6, -0.05, -1.2074E-07, 0, 1.2075E-07, 0, -2.300000000000014E-09
DataValue, -1.1400000000000001, -1.6, -0.05, -1.2286E-07, 0, 1.2285E-07, 0, -2.1199999999999952E-09
DataValue, -1.16, -1.6, -0.05, -1.248E-07, 0, 1.2495E-07, 0, -1.9400000000000028E-09
DataValue, -1.18, -1.6, -0.05, -1.2726E-07, 0, 1.2715E-07, 0, -2.4599999999999836E-09
DataValue, -1.2, -1.6, -0.05, -1.2914E-07, 0, 1.292E-07, 0, -1.8800000000000142E-09
DataValue, -1.22, -1.6, -0.05, -1.3138E-07, 0, 1.3119999999999998E-07, 0, -2.2399999999999989E-09
DataValue, -1.24, -1.6, -0.05, -1.3348E-07, 0, 1.335E-07, 0, -2.099999999999999E-09
DataValue, -1.26, -1.6, -0.05, -1.3572E-07, 0, 1.3574999999999998E-07, 0, -2.2399999999999989E-09
DataValue, -1.28, -1.6, -0.05, -1.376E-07, 0, 1.3779999999999998E-07, 0, -1.8799999999999877E-09
DataValue, -1.3, -1.6, -0.05, -1.3992E-07, 0, 1.3999999999999998E-07, 0, -2.32000000000001E-09
DataValue, -1.32, -1.6, -0.05, -1.4218E-07, 0, 1.422E-07, 0, -2.2599999999999951E-09
DataValue, -1.34, -1.6, -0.05, -1.445E-07, 0, 1.443E-07, 0, -2.32000000000001E-09
DataValue, -1.36, -1.6, -0.05, -1.4654E-07, 0, 1.4659999999999998E-07, 0, -2.0399999999999839E-09
DataValue, -1.3800000000000001, -1.6, -0.05, -1.4872E-07, 0, 1.4874999999999998E-07, 0, -2.1800000000000103E-09
DataValue, -1.4000000000000001, -1.6, -0.05, -1.508E-07, 0, 1.5094999999999999E-07, 0, -2.0800000000000027E-09
DataValue, -1.42, -1.6, -0.05, -1.5314E-07, 0, 1.5315E-07, 0, -2.3400000000000064E-09
DataValue, -1.44, -1.6, -0.05, -1.552E-07, 0, 1.5514999999999998E-07, 0, -2.05999999999998E-09
DataValue, -1.46, -1.6, -0.05, -1.5748E-07, 0, 1.5749999999999997E-07, 0, -2.2800000000000178E-09
DataValue, -1.48, -1.6, -0.05, -1.5952E-07, 0, 1.5959999999999997E-07, 0, -2.0399999999999839E-09
DataValue, -1.5, -1.6, -0.05, -1.6176E-07, 0, 1.6174999999999998E-07, 0, -2.2399999999999989E-09
DataValue, -1.52, -1.6, -0.05, -1.6404E-07, 0, 1.6394999999999998E-07, 0, -2.2800000000000178E-09
DataValue, -1.54, -1.6, -0.05, -1.6602E-07, -5E-13, 1.662E-07, 0, -1.9799999999999952E-09
DataValue, -1.56, -1.6, -0.05, -1.6847999999999998E-07, 0, 1.6844999999999998E-07, 0, -2.4599999999999836E-09
DataValue, -1.58, -1.6, -0.05, -1.7052E-07, 0, 1.7064999999999998E-07, 5E-13, -2.0400000000000103E-09
DataValue, -1.6, -1.6, -0.05, -1.7278E-07, 0, 1.7279999999999999E-07, 0, -2.2599999999999951E-09
DataValue, -1.62, -1.6, -0.05, -1.7489999999999999E-07, 0, 1.75E-07, 5E-13, -2.1199999999999952E-09
DataValue, -1.6400000000000001, -1.6, -0.05, -1.7716E-07, 0, 1.7719999999999997E-07, 0, -2.2600000000000216E-09
DataValue, -1.6600000000000001, -1.6, -0.05, -1.7954E-07, 0, 1.7934999999999998E-07, 0, -2.3799999999999988E-09
DataValue, -1.68, -1.6, -0.05, -1.8154E-07, 0, 1.8159999999999999E-07, 0, -1.9999999999999914E-09
DataValue, -1.7, -1.6, -0.05, -1.839E-07, 0, 1.838E-07, 0, -2.3600000000000026E-09
DataValue, -1.72, -1.6, -0.05, -1.861E-07, 0, 1.8599999999999997E-07, 0, -2.2000000000000065E-09
DataValue, -1.74, -1.6, -0.05, -1.882E-07, 0, 1.8814999999999997E-07, 0, -2.099999999999999E-09
DataValue, -1.76, -1.6, -0.05, -1.9025999999999998E-07, 0, 1.9034999999999998E-07, 0, -2.05999999999998E-09
DataValue, -1.78, -1.6, -0.05, -1.9266E-07, 0, 1.9255E-07, 0, -2.4000000000000215E-09
DataValue, -1.8, -1.6, -0.05, -1.9468E-07, 0, 1.9475E-07, 0, -2.0199999999999876E-09
DataValue, -1.82, -1.6, -0.05, -1.9674E-07, 0, 1.9689999999999997E-07, 0, -2.0600000000000065E-09
DataValue, -1.84, -1.6, -0.05, -1.9912E-07, 0, 1.9904999999999997E-07, 0, -2.3799999999999988E-09
DataValue, -1.86, -1.6, -0.05, -2.012E-07, 0, 2.0119999999999998E-07, 0, -2.0800000000000027E-09
DataValue, -1.8800000000000001, -1.6, -0.05, -2.0334E-07, 0, 2.0339999999999998E-07, 0, -2.1399999999999914E-09
DataValue, -1.9000000000000001, -1.6, -0.05, -2.0558E-07, 0, 2.0554999999999998E-07, 5E-13, -2.2399999999999989E-09
DataValue, -1.92, -1.6, -0.05, -2.0771999999999998E-07, 0, 2.0775E-07, 0, -2.1399999999999914E-09
DataValue, -1.94, -1.6, -0.05, -2.0958E-07, 0, 2.0985E-07, 0, -1.860000000000018E-09
DataValue, -1.96, -1.6, -0.05, -2.1192E-07, 0, 2.12E-07, 0, -2.3400000000000064E-09
DataValue, -1.98, -1.6, -0.05, -2.141E-07, 0, 2.1414999999999997E-07, 0, -2.1799999999999838E-09
DataValue, -2, -1.6, -0.05, -2.1623999999999998E-07, 0, 2.1629999999999997E-07, 0, -2.1399999999999914E-09
DataValue, -2.02, -1.6, -0.05, -2.1842E-07, 0, 2.1839999999999997E-07, 0, -2.1800000000000103E-09
DataValue, -2.04, -1.6, -0.05, -2.2058E-07, 0, 2.2059999999999998E-07, 0, -2.160000000000014E-09
DataValue, -2.06, -1.6, -0.05, -2.2246E-07, 0, 2.2269999999999998E-07, 0, -1.8799999999999877E-09
DataValue, -2.08, -1.6, -0.05, -2.2459999999999999E-07, 0, 2.2474999999999997E-07, 0, -2.1399999999999914E-09
DataValue, -2.1, -1.6, -0.05, -2.2669999999999999E-07, 0, 2.2679999999999997E-07, 0, -2.099999999999999E-09
DataValue, -2.12, -1.6, -0.05, -2.2902E-07, -5E-13, 2.2899999999999997E-07, 0, -2.32000000000001E-09
DataValue, -2.14, -1.6, -0.05, -2.3106E-07, 0, 2.3104999999999997E-07, 0, -2.0400000000000103E-09
DataValue, -2.16, -1.6, -0.05, -2.3322E-07, 0, 2.3319999999999997E-07, 0, -2.1599999999999876E-09
DataValue, -2.18, -1.6, -0.05, -2.3528E-07, 0, 2.3524999999999997E-07, 0, -2.0600000000000065E-09
DataValue, -2.2, -1.6, -0.05, -2.3724E-07, 0, 2.3734999999999997E-07, 0, -1.959999999999999E-09
DataValue, -2.22, -1.6, -0.05, -2.3947999999999997E-07, 0, 2.394E-07, 0, -2.2399999999999724E-09
DataValue, -2.24, -1.6, -0.05, -2.4129999999999997E-07, -5E-13, 2.416E-07, 0, -1.8199999999999991E-09
DataValue, -2.2600000000000002, -1.6, -0.05, -2.4356E-07, 0, 2.436E-07, 0, -2.2600000000000216E-09
DataValue, -2.2800000000000002, -1.6, -0.05, -2.4564E-07, 0, 2.457E-07, 0, -2.0800000000000292E-09
DataValue, -2.3000000000000003, -1.6, -0.05, -2.4762E-07, 0, 2.477E-07, 0, -1.9799999999999688E-09
DataValue, -2.32, -1.6, -0.05, -2.4964E-07, 0, 2.4964999999999996E-07, 0, -2.0200000000000141E-09
DataValue, -2.34, -1.6, -0.05, -2.5174E-07, 0, 2.5164999999999995E-07, 0, -2.099999999999999E-09
DataValue, -2.36, -1.6, -0.05, -2.5384E-07, 0, 2.5394999999999997E-07, 5E-13, -2.099999999999999E-09
DataValue, -2.38, -1.6, -0.05, -2.5576E-07, 0, 2.5589999999999996E-07, 0, -1.9200000000000066E-09
DataValue, -2.4, -1.6, -0.05, -2.5784E-07, 0, 2.5794999999999995E-07, 0, -2.0799999999999763E-09
DataValue, -2.42, -1.6, -0.05, -2.5984E-07, 0, 2.599E-07, 0, -1.9999999999999914E-09
DataValue, -2.44, -1.6, -0.05, -2.6202E-07, 0, 2.621E-07, 0, -2.1800000000000367E-09
DataValue, -2.46, -1.6, -0.05, -2.639E-07, 0, 2.639E-07, 0, -1.8799999999999612E-09
DataValue, -2.48, -1.6, -0.05, -2.6604E-07, 0, 2.661E-07, 0, -2.1400000000000443E-09
DataValue, -2.5, -1.6, -0.05, -2.6795999999999997E-07, 0, 2.6804999999999997E-07, 0, -1.9199999999999537E-09
DataValue, -2.52, -1.6, -0.05, -2.7014E-07, 0, 2.7004999999999996E-07, 0, -2.1800000000000367E-09
DataValue, -2.54, -1.6, -0.05, -2.7186E-07, 0, 2.719E-07, 0, -1.7199999999999916E-09
DataValue, -2.56, -1.6, -0.05, -2.7376E-07, 0, 2.739E-07, 0, -1.8999999999999839E-09
DataValue, -2.58, -1.6, -0.05, -2.759E-07, 0, 2.759E-07, 0, -2.1399999999999914E-09
